Bike Name,Total Duration,Avg Duration,Trips,Total Distance,Avg Distance
14,94.0,94.0,1,0.9035916280918684,0.9035916280918684
102,13333.0,25.251893939393938,528,562.3854183096033,1.0651238983136426
170,11785.0,20.495652173913044,575,587.4460067933288,1.0216452292057892
2472,10775.0,18.837412587412587,572,595.0415623528165,1.0402824516657632
2473,8792.0,18.316666666666666,480,512.5429959356286,1.0677979081992262
2474,10122.0,19.062146892655367,531,565.9579996037497,1.065834274206685
2475,12431.0,22.519927536231883,552,569.2231488750438,1.031201356657688
2476,10080.0,17.17206132879046,587,594.228237538349,1.0123138629273407
2477,11421.0,20.285968028419184,563,551.9829692404084,0.9804315617058763
2478,5716.0,19.31081081081081,296,294.9235809839674,0.9963634492701601
2479,1756.0,97.55555555555556,18,27.529690736344815,1.5294272631302674
2480,11609.0,20.84201077199282,557,588.4549816196549,1.0564721393530607
2481,12692.0,20.875,608,646.3618405980598,1.0630951325625984
2492,8516.0,18.716483516483517,455,490.3614241747415,1.0777174157686626
2493,10117.0,19.418426103646834,521,558.9259125792328,1.0727944579255908
2494,9525.0,19.51844262295082,488,519.1881931643024,1.0639102318940623
2496,10765.0,18.65684575389948,577,599.7542026356109,1.0394353598537451
2497,9755.0,17.866300366300365,546,562.8645848009635,1.0308875179504826
2498,10059.0,20.69753086419753,486,494.13540500596207,1.016739516473173
2499,11006.0,23.07337526205451,477,484.43578865173026,1.0155886554543612
2500,12358.0,20.665551839464882,598,588.8193359560391,0.984647718990032
2501,9942.0,19.726190476190474,504,560.7577209892138,1.1126145257722495
2502,10973.0,18.629881154499152,589,614.7333414526522,1.0436898836208017
2503,12728.0,21.31993299832496,597,616.0900686575079,1.0319766644179362
2504,10464.0,17.098039215686274,612,658.3630201575172,1.075756568884832
2505,10672.0,19.799628942486084,539,533.2792362934546,0.9893863382067802
2506,11451.0,19.342905405405407,592,608.6646371502316,1.0281497249159317
2507,11113.0,19.259965337954938,577,592.9120097857632,1.0275771400099882
2508,9922.0,17.942133815551536,553,567.8787641656227,1.0269055409866594
2509,13878.0,22.240384615384617,624,665.2416835369933,1.0660924415656943
2510,9383.0,18.04423076923077,520,542.1897062369853,1.0426725119942026
2511,12080.0,19.642276422764226,615,649.5605878024147,1.0561960777275037
2512,9638.0,20.290526315789474,475,502.7477778864075,1.0584163744977
2513,10910.0,22.96842105263158,475,511.9817369763912,1.0778562883713498
2515,10720.0,17.77777777777778,603,622.5399813835579,1.0324046125763813
2516,9817.0,21.203023758099352,463,484.8031223798026,1.0470909770622085
2517,10934.0,22.314285714285713,490,497.5558517576019,1.015420105627759
2518,12923.0,17.41644204851752,742,823.0310146651843,1.1092062192253158
2519,9426.0,16.595070422535212,568,600.4902335429861,1.057201115392581
2520,10391.0,17.97750865051903,578,579.7832767196697,1.003085253840259
2521,10517.0,19.512059369202227,539,571.779050720421,1.0608145653440093
2522,9776.0,18.58555133079848,526,534.6512226743791,1.0164471913961581
2523,9557.0,16.281090289608176,587,595.106654725881,1.0138103146948567
2524,10353.0,21.980891719745223,471,481.6161597691754,1.0225396173443215
2525,1063.0000000000002,1063.0000000000002,1,1.9828389522078105,1.9828389522078105
2526,15361.0,24.656500802568218,623,659.9997424087268,1.0593896346849547
2527,10968.0,28.195372750642672,389,428.2116770839274,1.1008012264368314
2528,9137.0,17.078504672897196,535,551.3102085006656,1.0304863710292815
2530,10686.0,21.587878787878786,495,522.5831297881701,1.055723494521556
2531,12040.0,21.461675579322637,561,605.9242773325758,1.0800789257265166
2532,10157.0,17.45189003436426,582,599.1427366909923,1.0294548740395055
2533,12080.0,22.003642987249545,549,579.3288761537168,1.0552438545605043
2534,12702.0,24.664077669902913,515,532.5703374102351,1.034117160019874
2535,10442.0,16.787781350482316,622,664.9466540101565,1.0690460675404445
2536,12206.0,21.301919720767888,573,561.4433285383701,0.9798312888976791
2537,9018.0,17.68235294117647,510,521.4216383499322,1.0223953693135925
2538,7894.0,16.76008492569002,471,507.2012931666307,1.076860495045925
2539,10147.0,19.29087452471483,526,540.6594646958109,1.0278697047448877
2540,9531.0,21.18,450,461.1960822661085,1.0248801828135743
2541,9910.0,22.022222222222222,450,480.35323087987217,1.0674516241774936
2542,11385.0,20.889908256880734,545,549.2178289150864,1.0077391356240117
2543,10128.0,20.015810276679844,506,528.5100483031994,1.0444862614687735
2544,8934.0,17.247104247104247,518,551.7138729009438,1.0650846967199687
2545,8286.0,15.965317919075144,519,522.5997124878555,1.0069358622116678
2546,8292.0,21.371134020618555,388,416.0085564092904,1.0721870010548722
2547,10768.0,18.56551724137931,580,587.3510531240913,1.0126742295242954
2548,11754.0,19.721476510067113,596,607.2410699199683,1.0188608555704166
2549,8665.0,16.536259541984734,524,574.0722784483339,1.0955577832983472
2550,10541.0,18.789661319073083,561,598.7805047988254,1.0673449283401522
2551,8373.0,16.679282868525895,502,503.9192154161698,1.0038231382792226
2552,12174.0,18.224550898203592,668,702.4828255412785,1.0516209963192793
2553,10027.0,17.14017094017094,585,652.2100904447593,1.1148890434953151
2554,10192.0,19.713733075435204,517,529.7151900324114,1.0245941780124013
2555,9928.0,19.543307086614174,508,546.2591538139199,1.075313294909291
2556,15011.0,24.487765089722675,613,641.6708227887275,1.0467713259196207
2557,8934.0,21.73722627737226,411,423.3265254692251,1.0299915461538323
2558,13168.0,20.10381679389313,655,677.3624613713425,1.0341411623989962
2559,9575.0,16.73951048951049,572,572.2958150416272,1.000517159163684
2560,14350.0,28.642714570858285,501,496.9128996634258,0.9918421150966582
2561,10029.0,18.745794392523365,535,540.5633967258672,1.0103988723847985
2562,12195.0,19.48083067092652,626,679.3562041608504,1.0852335529726045
2563,10037.0,18.62152133580705,539,563.2304610500381,1.0449544731911653
2564,11441.0,20.954212454212453,546,563.2607932802779,1.0316131745060035
2565,7850.0,15.637450199203187,502,519.8551079321174,1.0355679440878833
2566,10707.0,21.895705521472394,489,509.7332862352118,1.0423993583542164
