Bike Name,Total Duration,Avg Duration,Trips,Total Distance,Avg Distance
10,40.75,8.15,5,0.0,0.0
11,5061.266666666667,14.502196752626554,349,318.22140116704026,0.9118091723983961
12,3492.9333333333307,14.553888888888878,240,217.2167765415998,0.9050699022566658
13,2450.216666666667,13.173207885304661,186,195.895363707102,1.0532008801457098
14,2637.683333333334,18.317245370370372,144,138.67230253293394,0.9630021009231524
15,4084.2500000000014,15.015625000000005,272,266.8672884239881,0.9811297368528974
16,395.98333333333335,16.499305555555555,24,28.25909671035217,1.1774623629313405
17,7902.933333333336,13.486234357224124,586,625.5989894397549,1.067575067303336
18,3533.4000000000005,15.035744680851066,235,232.1061189464567,0.9876856125381136
20,9765.58333333333,15.354690775681338,636,686.6345939702018,1.0796141414625813
21,2095.283333333333,13.517956989247308,155,171.7082293386677,1.1077950279914046
22,4074.8833333333346,14.398881036513549,283,288.7822838424839,1.0204320983833353
23,10923.850000000019,16.37758620689658,667,702.0823463442588,1.052597220905935
24,14875.383333333328,18.0526496763754,824,859.8406541559154,1.0434959395096062
25,6681.466666666666,21.483815648445873,311,338.60812046722026,1.0887720915344703
26,6137.633333333334,15.859517657192077,387,367.0729767823456,0.9485089839337096
27,6732.5,13.57358870967742,496,516.552086354797,1.041435657973381
29,7708.166666666667,15.203484549638397,507,514.7730602387585,1.0153314797608648
30,4911.950000000001,16.937758620689657,290,280.2231082417946,0.9662865801441193
31,4396.699999999998,12.707225433526006,346,352.66829100859417,1.0192725173658792
32,12927.616666666656,18.7356763285024,690,752.9173803648797,1.0911846092244633
33,3916.3000000000006,12.592604501607719,311,292.15838149272065,0.9394160176614812
34,10124.616666666669,15.552406554019461,651,674.6779004934289,1.0363715829392148
35,240.25000000000003,10.920454545454547,22,13.740133625562105,0.6245515284346411
36,3100.1333333333323,14.833173843700154,209,198.7625084776951,0.9510167869746177
37,3212.7833333333324,14.153230543318644,227,198.10095721827548,0.8726914414902004
38,2047.4166666666665,15.510732323232322,132,96.6784338022755,0.732412377289966
39,6255.250000000011,13.309042553191512,470,514.9502553314561,1.0956388411307576
40,2942.6500000000005,17.620658682634733,167,142.96241977572421,0.8560623938666121
41,4637.55,18.5502,250,244.93624028757128,0.9797449611502851
42,4857.233333333331,16.577588168373143,293,274.0283242248368,0.9352502533270881
43,6297.933333333334,16.617238346525948,379,403.2375721602124,1.0639513777314311
44,179.20000000000002,8.96,20,18.57390487028992,0.928695243514496
45,11400.466666666685,17.24730206757441,661,713.9798845870168,1.0801511113268032
46,5954.016666666662,17.615433925049295,338,370.3598364227854,1.095739161014158
47,3481.083333333332,15.135144927536226,230,173.75720308642454,0.7554661003757589
48,1781.1666666666665,13.29228855721393,134,92.14393714142074,0.687641321950901
49,3219.849999999998,11.337499999999993,284,256.9760738013504,0.9048453302864452
50,10600.116666666669,14.641045119705343,724,788.2498680045036,1.0887429116084304
51,3303.233333333335,12.51224747474748,264,246.89203371994452,0.9351970974240322
52,2377.150000000002,12.005808080808091,198,188.3662085545088,0.9513444876490343
53,6000.5666666666675,23.81177248677249,252,245.3147825788843,0.9734713594400171
54,4269.566666666665,15.033685446009383,284,254.23935020566552,0.8952089795974137
55,989.1833333333334,10.990925925925927,90,68.89254645580569,0.7654727383978409
56,1389.3166666666666,15.969157088122605,87,94.02972126213625,1.080801393817658
57,3527.433333333333,12.205651672433678,289,275.61343071105654,0.9536796910417181
58,4656.466666666668,13.983383383383387,333,341.68084577360196,1.0260686059267325
59,6093.983333333328,14.719766505636057,414,411.87905415819677,0.9948769424111032
60,3759.3833333333328,13.09889663182346,287,254.0782290598447,0.8852899967241975
61,3745.9999999999986,18.54455445544554,202,192.0745156916861,0.9508639390677529
62,2088.0,14.301369863013699,146,114.32677220494223,0.7830600835954947
63,6771.133333333331,15.565823754789267,435,462.0412903819187,1.0621638859354454
64,6215.516666666663,18.94974593495934,328,325.63703007935555,0.9927958234126694
65,12271.249999999995,19.23393416927899,638,643.377790051537,1.0084291380118136
66,1717.766666666666,12.724197530864192,135,101.9200645024977,0.7549634407592422
67,8143.233333333333,14.064306275187104,579,605.5459478203687,1.0458479236966645
68,11332.566666666664,14.547582370560544,779,837.9687598200286,1.0756980228755182
69,14782.383333333348,18.272414503502283,809,882.4835588823272,1.0908325820547926
70,15026.033333333335,17.29117759877254,869,936.8458778409334,1.0780735072968164
71,11537.966666666653,15.46644325290436,746,777.7430966960807,1.0425510679572128
72,11280.050000000005,14.920701058201065,756,786.6601243993616,1.0405557201049758
73,15019.60000000001,21.958479532163757,684,716.2066801191025,1.0470857896478107
74,3433.716666666668,15.823579109062987,217,240.5578122583631,1.108561346812733
75,8079.883333333341,16.095385126162036,502,526.0639494253793,1.0479361542338232
76,932.7333333333332,12.113419913419913,77,71.34433972769808,0.9265498665934816
77,3077.900000000002,13.266810344827594,232,246.19655256500965,1.0611920369181451
78,404.53333333333336,33.711111111111116,12,12.019238894523625,1.001603241210302
79,6448.25,14.621882086167801,441,468.6198340799972,1.0626300092516943
80,4708.349999999997,12.864344262295074,366,336.36600437819607,0.9190327988475302
81,1506.9833333333338,10.999878345498788,137,99.90870520201203,0.7292606219124965
82,7740.783333333324,14.334783950617267,540,567.9755896419084,1.0518066474850156
83,3539.616666666664,16.387114197530853,216,223.53384552076605,1.034878914447991
84,8621.31666666667,30.039430894308953,287,281.6063980125792,0.9812069617163037
85,4215.016666666669,12.112116858237554,348,339.07906929288146,0.9743651416462111
86,13302.2,14.996843291995491,887,955.4865952792792,1.0772114941141817
