Start Hub,Start Latitude,Start Longitude,Start Date,Start Time,End Hub,End Latitude,End Longitude,End Date,End Time,Bike Name,Distance [Miles],Duration
IRWIN & EASTSIDE BELTLINE ,33.7575983333333,-84.3647,2018-06-11 00:00:00,2018-06-11 13:15:00,IRWIN & EASTSIDE BELTLINE ,33.7575983333333,-84.3647,2018-06-11 00:00:00,2018-06-11 16:38:00,2582,3913.01,0 days 03:22:43.000000000
NONE,0.0,0.0,2018-07-08 00:00:00,2018-07-08 10:56:00,IRWIN & EASTSIDE BELTLINE ,33.7576,-84.3646866666667,2018-07-08 00:00:00,2018-07-08 11:04:00,1035,5901.65,0 days 00:07:35.000000000
CENTENNIAL OLYMPIC PARK,33.7604083333333,-84.3945416666667,2018-07-11 00:00:00,2018-07-11 11:34:00,NONE,33.765370000000004,-84.3877066666667,2018-07-20 00:00:00,2018-07-20 14:36:00,2957*,138.63,9 days 03:01:41.000000000
