Start Hub,Start Latitude,Start Longitude,Start Date,Start Time,End Hub,End Latitude,End Longitude,End Date,End Time,Bike Name,Distance [Miles],Duration
IRWIN & EASTSIDE BELTLINE ,33.761378333333305,-84.3449716666667,2018-04-08 00:00:00,2018-04-08 14:55:00,NONE,33.761198333333304,-84.3448083333333,2018-04-09 00:00:00,2018-04-09 20:55:00,2949,3.1,1 days 06:00:05.000000000
NONE,33.7616416666667,-84.39482,2018-04-28 00:00:00,2018-04-28 20:05:00,CENTENNIAL OLYMPIC PARK,33.760401666666695,-84.3945933333333,2018-04-29 00:00:00,2018-04-29 22:42:00,2688,1.96,1 days 02:36:29.000000000
INMAN PARK VILLAGE,33.7618166666667,-84.3599833333333,2018-04-06 00:00:00,2018-04-06 13:11:00,NONE,33.7672733333333,-84.3689583333333,2018-04-11 00:00:00,2018-04-11 11:04:00,2675,4.56,4 days 21:53:15.000000000
INMAN PARK VILLAGE,33.761868333333304,-84.3599916666667,2018-04-06 00:00:00,2018-04-06 13:08:00,RANDOLPH & EDGEWOOD,33.754438333333304,-84.368075,2018-04-09 00:00:00,2018-04-09 22:00:00,2592,6.28,3 days 08:51:56.000000000
HARDY IVY PARK,33.762653333333304,-84.3874266666667,2018-04-16 00:00:00,2018-04-16 13:51:00,NONE,33.7554266666667,-84.3652883333333,2018-04-19 00:00:00,2018-04-19 22:16:00,2731,5.14,3 days 08:25:05.000000000
HARDY IVY PARK,33.762763333333304,-84.3875033333333,2018-04-03 00:00:00,2018-04-03 14:23:00,NONE,33.7621166666667,-84.3875816666667,2018-04-04 00:00:00,2018-04-04 14:30:00,1003,0.05,1 days 00:06:49.000000000
LITTLE FIVE POINTS,33.764175,-84.3506316666667,2018-04-08 00:00:00,2018-04-08 15:45:00,MARTA - FIVE POINTS ,33.753525,-84.390845,2018-04-09 00:00:00,2018-04-09 16:18:00,2910,2.87,1 days 00:33:08.000000000
NONE,33.7692483333333,-84.3622433333333,2018-04-27 00:00:00,2018-04-27 17:48:00,MARTA - KING MEMORIAL ,33.749881666666695,-84.3760933333333,2018-04-29 00:00:00,2018-04-29 13:55:00,2692,2.03,1 days 20:07:01.000000000
NONE,33.7722033333333,-84.3659383333333,2018-04-13 00:00:00,2018-04-13 16:40:00,VIRTUAL HUB - PONCE CITY MARKET SURFACE PARKING LOT,33.771866666666696,-84.3662833333333,2018-04-15 00:00:00,2018-04-15 13:26:00,2882,4.83,1 days 20:46:29.000000000
OUTWRIGHT STATION,33.772295,-84.3644483333333,2018-04-14 00:00:00,2018-04-14 16:17:00,NONE,33.7817583333333,-84.3792883333333,2018-04-15 00:00:00,2018-04-15 18:31:00,2634,1.08,1 days 02:14:15.000000000
GREENWOOD AVE BELTLINE,33.7767,-84.365155,2018-04-20 00:00:00,2018-04-20 15:44:00,NONE,33.758915,-84.3643583333333,2018-04-21 00:00:00,2018-04-21 20:28:00,1045,4.89,1 days 04:43:11.000000000
GREENWOOD AVE BELTLINE,33.7767083333333,-84.36515,2018-04-03 00:00:00,2018-04-03 15:38:00,GREENWOOD AVE BELTLINE,33.7767366666667,-84.3651766666667,2018-04-04 00:00:00,2018-04-04 19:44:00,2978*,3.9,1 days 04:06:21.000000000
GREENWOOD AVE BELTLINE,33.776720000000005,-84.3651816666667,2018-04-03 00:00:00,2018-04-03 15:13:00,GREENWOOD AVE BELTLINE,33.7767533333333,-84.36522,2018-04-04 00:00:00,2018-04-04 19:43:00,2792,3.74,1 days 04:29:54.000000000
