0
Baltimore Ave & Van Buren St / Riverdale Park Station
Twinbrook Metro
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
Eads St & 15th St S
North Shore Dr & Village Rd
Reston Regional Library
Frederick Ave & Horners Ln
Lee Hwy & N Scott St
Eckington Pl & Q St NE
Nannie Helen Burroughs & Minnesota Ave NE
Shirlington Transit Center / S Quincy & Randolph St
Norfolk Ave & Fairmont St
Georgia & New Hampshire Ave NW
14th St & Colorado Ave NW
Georgia Ave & Piney Branch Rd NW
Wisconsin Ave & Newark St NW
4th & W St NE
16th & Harvard St NW
N Quincy St & Glebe Rd
14th & V St NW
22nd & P ST NW
New Dominion Pkwy & Fountain Dr
11th & O St NW
Lamont & Mt Pleasant NW
15th & L St NW
Good Hope Rd & MLK Ave SE
14th & Irving St NW
12th & Newton St NE
10th & Florida Ave NW
Connecticut Ave & Chevy Chase Lake Dr
Potomac & Pennsylvania Ave SE
Garland Ave & Walden Rd
New Hampshire Ave & 24th St NW
Columbus Ave & Tribeca St
23rd & E St NW 
39th & Veazey St NW
Greensboro & Pinnacle Dr
16th & R St NW
North Shore & Cameron Crescent Dr/Crescent Apartments
15th & P St NW
8th & O St NW
Good Hope Rd & 14th St SE
Van Ness Metro / UDC
Anacostia Ave & Benning Rd NE / River Terrace 
34th St & Wisconsin Ave NW
3rd & D St SE
Columbus Ave & Gramercy Blvd
Joliet St & MLK Ave SW/Bald Eagle Rec Ctr
TJ Cmty Ctr / 2nd St & S Old Glebe Rd
Lyttonsville Rd & Lyttonsville Pl
14th & Belmont St NW
15th & Crystal Dr
Potomac Ave & 8th St SE
1st & H St NW
15th St & Massachusetts Ave SE
15th St & Constitution Ave NW
21st & I St NW
Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center
S Arlington Mill Dr & Campbell Ave
Iwo Jima Memorial/N Meade & 14th St N
19th & L St NW
Braddock Rd Metro
15th & F St NE
Central Library / N Quincy St & 10th St N
Bethesda Metro
Veterans Pl & Pershing Dr 
Sunset Hills Rd & Discovery Square
D St & Maryland Ave NE
New Jersey Ave & R St NW
King St & Patrick St
Lee Hwy & N Cleveland St
20th & O St NW / Dupont South
Grandview & Blueridge Ave
Columbia Rd & Georgia Ave NW
M St & New Jersey Ave SE
Key West Ave & Diamondback Dr
21st & M St NW
Windham Ln & Amherst Ave
1st & S Capitol St SE / Oxon Run Trail
Lincoln Memorial
3rd & G St SE
N Rhodes & 16th St N
Crystal Dr & 15th St S
Virginia Ave & 25th St NW
S Four Mile Run Dr & S Shirlington Rd
Potomac & Swann Ave
Crabbs Branch Way & Redland Rd
East West Hwy & Blair Mill Rd
20th & E St NW
7th & E St SW
Ripley & Bonifant St
1st & Washington Hospital Center NW
Spring St & Second Ave
2nd St & Seaton Pl NE
Wisconsin Ave & Brandywine St NW
Eisenhower Ave & Mill Race Ln
South Capitol & Atlantic St SW
S Four Mile Run & Walter Reed Dr
Vermont Ave & I St NW
Fessenden St & Wisconsin Ave NW
Crystal City Metro / 18th & Bell St
Perry & 35th St
Lee Hwy & N Kirkwood Rd
Cordell & Norfolk Ave
Wilson Blvd & N Troy St
Alabama Ave & Stanton Rd SE / Shops at Park Village
Piccard & W Gude Dr
Jefferson Memorial
Washington Blvd & 10th St N
Deanwood Rec Center
Powhatan St & Bashford Ln
Henry Bacon Dr & Lincoln Memorial Circle NW
North Capitol St & G Pl NE
Wilson Blvd & N Edgewood St
Montgomery & East Ln
King Farm Blvd & Pleasant Dr
King Farm Blvd & Piccard Dr
New York Ave & 15th St NW
Roosevelt Island
Crystal Dr & 23rd St S
Ward Circle / American University
13th St & Eastern Ave
Westpark Dr & Leesburg Pike
Livingston Rd & 3rd St SE
Georgia Ave and Fairmont St NW
John McCormack Dr & Michigan Ave NE
Mount Vernon Ave & E Nelson Ave
7th & F St NW / National Portrait Gallery
6th St & Indiana Ave NW
Connecticut & Nebraska Ave NW
Crystal Dr & 27th St S
Eads & 22nd St S
19th & East Capitol St SE
25th St & Pennsylvania Ave NW
Dennis & Amherst Ave
21st St & Pennsylvania Ave NW
12th & Irving St NE
Towers Crescent Dr & Tysons One Pl
47th & Elm St
20th St & Florida Ave NW
Commonwealth Ave & Oak St
3rd & Tingey St SE
Benning Branch Library
17th St & Massachusetts Ave NW
19th & K St NW
Reston Station
Woodglen Dr & Executive Blvd
8th & F St NE
Crabbs Branch Way & Calhoun Pl
Citadel Ave & McGrath Blvd
36th & Calvert St NW / Glover Park
River Rd & Landy Ln
15th & Euclid St  NW
4th & East Capitol St NE
31st & Woodrow St S
20th & Crystal Dr
Madison & Fairfax St
E Montgomery Ave & Maryland Ave
Congressional Ln & E Jefferson St
14th & Upshur St NW
15th & N Scott St
Friendship Blvd & Willard Ave
Bethesda Ave & Arlington Rd
Mount Vernon Ave & Kennedy St
10th St & Constitution Ave NW
Saint Asaph St & Pendleton  St
Fleet St & Ritchie Pkwy
Radford & Osage St
37th & Ely Pl SE / Fort Dupont Ice Arena
S Joyce & 16th St S
Columbia Pike & S Walter Reed Dr
10th & U St NW
14th St Heights / 14th & Crittenden St NW
Benning Rd & East Capitol St NE / Benning Rd Metro
Yuma St & Tenley Circle NW
Largo Town Center Metro
21st St & Constitution Ave NW
15th & W St NW
14th & D St NW / Ronald Reagan Building
Franklin & S Washington St
9th & Upshur St NW
15th & K St NW
Branch & Pennsylvania Ave SE
Largo Rd & Campus Way / Prince Georges's Comm Col
Washington Blvd & N Frederick St
Connecticut Ave & Newark St NW / Cleveland Park
18th St & Wyoming Ave NW
S Glebe & Potomac Ave
Maple & Ritchie Ave
8th & H St NW
28th St S & S Meade St
Lee Hwy & N Adams St
26th & S Clark St
3000 Connecticut Ave NW / National Zoo
17th St & Independence Ave SW
S Stafford & 34th St S
3rd & H St NE
Tenleytown / Wisconsin Ave & Albemarle St NW
14th & L St NW
Maryland Ave & E St NE
10th & E St NW
Ballston Metro / N Stuart & 9th St N
Wilson Blvd & N Uhle St
Wisconsin Ave & O St NW
New Jersey Ave & N St NW/Dunbar HS
New Jersey Ave & L St NW
Wheaton Metro/Georgia Ave & Reedie Dr
Carroll & Ethan Allen Ave
New Hampshire Ave & T St NW
19th St & Pennsylvania Ave NW
Mount Vernon Ave & Four Mile Run Park
Independence Ave & L'Enfant Plaza SW/DOE
Jefferson Dr & 14th St SW
Mount Vernon Ave & Bruce St
Woodmont Ave & Strathmore St
Rolfe St & 9th St S
Old Georgetown Rd & Southwick St
Randle Circle & Minnesota Ave SE
Clarendon Blvd & N Fillmore St
10th St & L'Enfant Plaza SW
Gallaudet / 8th St & Florida Ave NE
Wilson Blvd & N Quincy St
Convention Center / 7th & M St NW
2nd & G St NE
Takoma Metro
Sunset Hills Rd & Isaac Newton Square
S Joyce & Army Navy Dr
Tysons West Transit Center
Broschart & Blackwell Rd
S Kenmore & 24th St S
Lincoln Park / 13th & East Capitol St NE 
Glebe Rd & 11th St N
16th & Q St SE / Anacostia HS
11th & F St NW
18th & R St NW
Columbia Pike & S Dinwiddie St / Arlington Mill Community Center
Wisconsin Ave & Ingomar St NW
11th & H St NE
Crystal Dr & Potomac Ave
N Pershing Dr & Wayne St
37th & O St NW / Georgetown University
22nd St & Constitution Ave NW
USDA / 12th & Independence Ave SW
Columbia Pike & S Orme St
2nd St & Massachusetts Ave NE
14th St & Spring Rd NW
S Walter Reed Dr & 8th St S
Union Market/6th St & Neal Pl NE
Offutt Ln & Chevy Chase Dr
14th & R St NW
Rhode Island & Connecticut Ave NW
US Dept of State / Virginia Ave & 21st St NW
