Hub,Latitude,Longitude
Maine Ave & 9th St SW,38.8804163,-77.027052
N Pershing Dr & Wayne St,38.880717,-77.08569
Washington Blvd & 7th St N,38.8808337,-77.091129
Kennebec St & 11th St N,38.8812058,-77.1373213
3rd & G St SE,38.881266,-76.991484
Jefferson Memorial,38.881381,-77.036454
Ballston Metro / N Stuart & 9th St N,38.88194,-77.11174
Virginia Square Metro / N Monroe St & 9th St N,38.88249,-77.1029
N Randolph St & Fairfax Dr,38.8826287,-77.109366
37th & Ely Pl SE / Fort Dupont Ice Arena,38.883102,-76.949952
13th & E St SE,38.883233,-77.001373
7th & E St SW,38.883319,-77.021517
Utah St & 11th St N ,38.8836019,-77.1140123
Glebe Rd & 11th St N,38.883636,-77.116409
Central Library / N Quincy St & 10th St N,38.883795,-77.10729
10th St & L'Enfant Plaza SW,38.883917,-77.025194
14th & D St SE,38.8839997,-76.9861
Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.8839997,-76.995397
4th & E St SW,38.8841197,-77.017445
Washington Blvd & 10th St N,38.88444,-77.092805
East Falls Church Metro/Sycamore St & 19th St N,38.8846008,-77.1582806
Washington Blvd & N Frederick St,38.884879,-77.127966
1st & D St SE,38.884906,-77.0059614
Barton St & 10th St N,38.885025,-77.08799
3rd & D St SE,38.885133,-77.002319
Fairfax Dr & Wilson Blvd,38.885656,-77.097411
Branch & Pennsylvania Ave SE,38.885792,-76.997976
4th & C St SW,38.8860202,-77.0195087
Westover Library / Washington Blvd & N McKinley Rd,38.8861153,-77.1442754
L'Enfant Plaza / 7th & C St SW,38.8862657,-77.022241
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.886371,-77.045211
15th St & Massachusetts Ave SE,38.886804,-76.983032
Eastern Market / 7th & North Carolina Ave SE,38.8869517,-76.996806
USDA / 12th & Independence Ave SW,38.88697,-77.030788
Washington & Independence Ave SW/HHS,38.8869929,-77.0154367
Independence Ave & L'Enfant Plaza SW/DOE,38.887136,-77.025876
3rd St & Pennsylvania Ave SE,38.887139,-77.001721
17th St & Independence Ave SW,38.8874602,-77.0200637
Washington-Lee High School / N Stafford St & Generals Way,38.887849,-77.110139
Clarendon Metro / Wilson Blvd & N Highland St,38.8878597,-77.094875
Clarendon Blvd & N Fillmore St,38.887876,-77.093129
USDA / 12th & C St SW,38.8880208,-77.030632
Jefferson Dr & 14th St SW,38.888612,-77.031953
Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.8886623,-77.0303862
Largo Rd & Campus Way / Prince Georges's Comm Col,38.889085,-76.824332
Wilson Blvd & N Edgewood St,38.889199,-77.091796
Lincoln Memorial,38.889269,-77.050176
Arlington Blvd & N Queen St,38.889507,-77.077646
Lincoln Park / 13th & East Capitol St NE ,38.889568,-76.988127
19th & East Capitol St SE,38.88961,-76.938558
15th & East Capitol St NE,38.88973,-76.983229
Benning Rd & East Capitol St NE / Benning Rd Metro,38.889955,-76.936652
8th & East Capitol St NE,38.890019,-76.995062
4th & East Capitol St NE,38.890139,-77.000768
Henry Bacon Dr & Lincoln Memorial Circle NW,38.890167,-77.049611
Wilson Blvd & Franklin Rd,38.890403,-77.088692
Iwo Jima Memorial/N Meade & 14th St N,38.890437,-77.069721
15th & N Scott St,38.890556,-77.080911
Court House Metro / 15th & N Uhle St ,38.8905607,-77.0848299
4th St & Madison Dr NW,38.8906037,-77.019759
10th St & Constitution Ave NW,38.891266,-77.026065
Wilson Blvd & N Uhle St,38.891556,-77.084866
N Rhodes & 16th St N,38.891716,-77.079128
61st St & Banks Pl NE,38.891968,-76.913663
15th St & Constitution Ave NW,38.892086,-77.033641
21st St & Constitution Ave NW,38.89211,-77.046678
19th St & Constitution Ave NW,38.8921143,-77.0456748
22nd St & Constitution Ave NW,38.892118,-77.048869
Connecticut & Nebraska Ave NW,38.8921244,-77.0738444
Constitution Ave & 2nd St NW/DOL,38.89221,-77.013947
Wilson Blvd & N Troy St,38.892543,-77.081853
Anacostia Park,38.8929986,-76.97557075
N Veitch & Key Blvd,38.8932407,-77.086045
N Lynn St & Fairfax Dr,38.893302,-77.071265
Clarendon Blvd & Pierce St,38.8933898,-77.0763908
Benning Branch Library,38.894099,-76.947765
20th St & Virginia Ave NW,38.8942635,-77.0471151
14th & D St NW / Ronald Reagan Building,38.894399,-77.030025
6th St & Indiana Ave NW,38.89441,-77.019907
Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8945997,-77.072305
D St & Maryland Ave NE,38.894627,-76.997218
13th & D St NE,38.894731,-76.988576
Roosevelt Island,38.8947339,-77.065089
Oklahoma Ave & D St NE,38.8947785,-76.9765262
Lee Hwy & N Cleveland St,38.894783,-77.091253
8th & D St NW,38.8947943,-77.0139252
US Dept of State / Virginia Ave & 21st St NW,38.894921,-77.046179
Kennedy Center,38.8951837,-77.054845
2nd St & Massachusetts Ave NE,38.895201,-77.003511
Lee Hwy & N Adams St,38.895295,-77.088878
20th & E St NW,38.895321,-77.044278
4th & D St NW / Judiciary Square,38.8953437,-77.016106
19th & E Street NW,38.8953934,-77.039969
Lee Hwy & N Kirkwood Rd,38.895815,-77.096353
15th St & Pennsylvania Ave NW/Pershing Park,38.895992,-77.033058
Lee Hwy & N Monroe St,38.896002,-77.104705
Key Blvd & N Quinn St,38.896045,-77.078465
10th & E St NW,38.89608,-77.026315
